part,instruction,keywords,main_keywords,규칙1,규칙2,규칙3,규칙4,규칙5,규칙6,규칙7,규칙8,총점,법률 위반,법률 위반 위험,지침 미준수,user_input,matched_part,matched_startIndex
제목 및 서문,"1번, 2번, 3번 항목을 위반할 시 '지침 미준수'로 분류해.

1. 개인정보 처리방침을 수립·공개하고자 하는 개인정보처리자의 명칭(회사명 또는 조직명)을 주어로 하여 기재하여야 함. 
2. 개인정보 처리방침의 취지 혹은 목적을 기재함.
3. '개인정보취급방침'이란 용어가 아닌 '개인정보처리방침'이란 용어를 사용해야함.","개인정보처리방침, 개인정보 처리방침, 총칙","개인정보처리방침, 개인정보 처리방침",작성지침 1. 제목 및 서문,작성지침 1. 제목 및 서문,작성지침 1. 제목 및 서문,,,,,,9.0,0.0,0.0,3.0,1,"개인정보처리지침
재단법인 포항테크노파크 (이하 ‘법인’라 한다)는 개인정보 보호법 제30조에 따라 정보주체의 개인정보를 보호하고 이와 관련한 고충을 신속하고 원활하게 처리할 수 있도록 하기 위하여 다음과 같이 개인정보 처리지침을 수립·공개합니다.

",0
개인정보의 처리 목적,"1번 항목 위반 시 '법률 위반'으로 분류하고
2번 항목 위반 시 '지침 미준수'로 분류.

1. 개인정보를 수집/이용 혹은 처리하는 목적을 기재해야 함.
2. 개인정보 처리방침의 수집 목적은 ‘~ 등’으로 추상적으로 기재하지 않고, 구체적으로 기재해야 함.","개인정보의 수집 및 이용목적, 개인정보의 수집목적 및 이용 목적, 개인정보의 처리목적, 개인정보 수집 및 이용목적, 개인정보의 수집 항목 및 이용 목적, 개인정보의 처리목적, 개인정보의 수집 및 이용목적","개인정보 처리 목적, 처리 목적, 수집 및 이용 목적, 수집 · 이용 목적, 수집 목적, 이용 목적",개인정보보호법 제30조 제1항,작성지침 2. 개인정보의 처리 목적,,,,,,,18.0,1.0,0.0,1.0,1,"제1조(개인정보의 처리목적)
법인은 다음의 목적을 위하여 개인정보를 처리합니다. 처리하고 있는 개인정보는 다음의 목적 이외의 용도로는 이용되지 않으며, 이용 목적이 변경되는 경우에는 개인정보 보호법 제18조에 따라 별도의 동의를 받는 등 필요한 조치를 이행할 예정입니다.
홈페이지 회원 가입 및 관리
회원 가입의사 확인, 회원제 서비스 제공에 따른 본인 식별·인증, 회원자격 유지관리, 제한적 본인확인제 시행에 따른 본인확인, 서비스 부정이용 방지, 만 14세 미만 아동의 개인정보 처리시 법정대리인의 동의여부 확인, 각종 고지·통지, 고충처리등을 목적으로 개인정보를 처리합니다.
법인 수행사업 관련 각종 기업지원사업 서비스 제공
고유목적사업 및 수익사업의 수행 관련 서비스 제공을 위한 관련 서식 작성과 사업성과보고, 평가 및 사업비정산, 각종 정보제공 등을 목적으로 개인정보를 처리합니다.
고충처리
민원인의 신원 확인, 민원사항 확인, 사실조사를 위한 연락·통지, 처리결과 통보등의 목적으로 개인정보를 처리합니다.

",142
개인정보의 처리 및 보유 기간,"3번, 4번 항목을 위반할 경우 '법률 위반'으로 분류하고,
1번, 2번 항목 위반 시 '지침 미준수'으로 분류. 

1. 정보주체로부터 '동의 받은 보유·이용 기간' or '법령에 따른 보유·이용기간'에 따라 개인정보를 보유할 수 있다는 내용을 기재함.
2. ‘개인정보의 처리 목적’에서 기재한 해당 사무에 따른 처리·보유 기간을 기재함. '목적 달성시'와 같이 기재하지 않아야 함.
3. 보유 기간을 'OO년간'과 같이 공란으로 기재하면 안됨.
4. 아래에 해당하는 부분이 있으면 검사함.
- 「전자상거래 등에서의 소비자 보호에 관한 법률」에 따른 표시·광고, 계약내용 및 이행 등 거래에 관한 기록 
- 표시·광고에 관한 기록 : 6개월
- 계약 또는 청약철회, 대금결제, 재화 등의 공급기록 : 5년
- 소비자 불만 또는 분쟁처리에 관한 기록 : 3년
- 「통신비밀보호법」에 따른 통신사실확인자료 보관: 3개월
- 가입자 전기통신일시, 개시·종료시간, 상대방 가입자번호, 사용도수, 발신기지국 위치추적자료 : 1년
- 컴퓨터통신, 인터넷 로그기록자료, 접속지 추적자료 : 3개월
- 「국세기본법」, 「법인세법」
- 세법이 규정하는 거래에 관한 장부 및 증빙서류 : 5년
- 「전자문서 및 전자거래 기본법」
- 공인전자주소를 통한 전자문서 유통에 관한 기록 : 10년 보관
- 「부가가치세법」
- 세금계산서, 영수증 등 거래내역 관련 정보 : 5년","개인정보의 보유 및 이용기간, 개인정보의 처리 및 보유기간, 개인정보 보유 및 이용기간, 개인정보의 수집 항목 및 이용 목적, 개인정보의 보유 및 이용기간, 개인정보의 처리 및 보유기간, 개인정보의 보유 및 이용기간, 수집한 개인정보의 보유","보유 및 이용기간, 처리 및 보유 기간, 보유 기간, 이용 기간",작성지침 3. 개인정보의 처리 및 보유 기간,작성지침 3. 개인정보의 처리 및 보유 기간,개인정보보호법 제30조 제1항,각 항목의 해당 법률,,,,,36.0,2.0,0.0,2.0,1,"제2조(개인정보의 처리 및 보유기간)
① 법인은 법령에 따른 개인정보 보유·이용기간 또는 정보주체로부터 개인정보를 수집 시에 동의 받은 개인정보 보유·이용기간 내에서 개인정보를 처리·보유합니다.
② 각각의 개인정보 처리 및 보유 기간은 다음과 같습니다.
홈페이지 회원 가입 및 관리 : 개인/사업자 및 단체 홈페이지 탈퇴 시까지 다만, 다음의 사유에 해당하는 경우에는 해당 사유 종료 시까지
관계 법령 위반에 따른 수사·조사 등이 진행중인 경우에는 해당 수사·조사 종료시까지
홈페이지 이용에 따른 채권·채무관계 잔존시에는 해당 채권·채무관계 정산시까지
기업지원사업 관련 서비스 제공 : 법인 고유목적사업 및 수익사업 완료시 까지
고충처리 : 민원 사항 확인 및 조치 완료시까지

",666
정보주체와 법정대리인의 권리·의무 및 행사방법에 관한 사항,"1번, 2번 항목을 위반하면 '법률 위반'으로 분류.

1. 개인정보처리자는 정보주체 또는 법정 대리인이 개인정보 보호와 관련하여 지니는 '권리' 그리고 '권리 행사 방법'에 대해 기재하여야 함. 
2. 개인정보처리자는 정보주체가 열람 등의 요구를 할 수 있는 구체적인 방법과 절차를 마련해야 함.","정보주체와 법정대리인의 권리·의무 및 행사방법에 관한 사항, 이용자 및 법정대리인의 권리와 그 행사방법, 정보주체 권리와 그 행사방법, 이용자 및 법정대리인의 권리ㆍ의무 및 행사방법, 회원 및 법정대리인의 권리와 그 행사방법, 고객의 권리와 행사방법, 정보주체와 법정대리인의 권리·의무 및 행사방법에 관한 사항, 이용자 및 법정대리인의 권리와 행사 방법","법정대리인의 권리, 권리 · 의무 행사 ",개인정보보호법 제30조 제1항,개인정보보호법 제38조 제4항,"작성지침 11. 정보주체와 법정대리인의 권리, 의무 및 행사방법에 관한 사항",,,,,,30.0,2.0,0.0,0.0,1,"제5조(정보주체의 권리·의무 및 행사방법)
정보주체는 법인에 대해 언제든지 다음 각 호의 개인정보 보호 관련 권리를 행사할 수 있습니다.
개인정보 열람요구
오류 등이 있을 경우 정정 요구
삭제요구
처리정지 요구
제1항에 따른 권리 행사는 법인에 대해 서면, 전화, 전자우편, 모사전송(FAX) 등을 통하여 하실 수 있으며 법인은 이에 대해 지체 없이 조치하겠습니다.
정보주체가 개인정보의 오류 등에 대한 정정 또는 삭제를 요구한 경우, 법인은 정정 또는 삭제를 완료할 때까지 당해 개인정보를 이용하거나 제공하지 않습니다.
제1항에 따른 권리 행사는 정보주체의 법정대리인이나 위임을 받은 자 등 대리인을 통하여 하실 수 있습니다. 이 경우 개인정보 보호법 시행규칙 별지 제11호 서식에 따른 위임장을 제출하셔야 합니다.
정보주체는 개인정보 보호법 등 관계법령을 위반하여 법인이 처리하고 있는 정보주체 본인이나 타인의 개인정보 및 사생활을 침해하여서는 아니 됩니다.

",1682
처리하는 개인정보의 항목,"1번 항목 위반 시 '법률 위반'으로 분류하고,
2번, 4번 항목 위반 시 '법률 위반 위험'으로 분류하고,
3번 항목을 위반하면 '지침 미준수'로 분류.

1. 개인정보 항목이 없을 경우 위반임.
2. 해당 사무 처리 과정이나 서비스 제공 과정에서 '자동으로 생성·수집되는 개인정보 항목(쿠키, IP 주소 등)'을 명시하지 않으면 위반임. 명시하지 않았다면 '위반 문장'은 '없음'으로 출력.
3. 해당 사무 처리 과정이나 서비스 제공 과정에서 '자동으로 생성·수집되는 개인정보 항목'의 '업무 내용'을 명시하지 않으면 위반임. 명시하지 않았다면 '위반 문장'은 '없음'으로 출력.
4. 개인정보 수집 항목을 전부 나열해야하고, ‘~ 등’과 같이 추상적으로 기재하지 않음.","수집하는 개인정보의 항목 및 수집방법, 개인정보 항목 및 수집 방법, 처리하는 개인정보 항목, 수집하는 개인정보 항목 및 수집방법, 개인정보의 수집범위, 처리하는 개인정보의 항목 작성, 개인정보의 수집 및 이용목적",개인정보 항목,개인정보보호법 제30조 제1항,개인정보보호법 제30조 제1항,개인정보보호법 제30조 제1항,개인정보보호법 시행령 제31조 제1항,,,,,32.0,1.0,2.0,1.0,1,"제6조(처리하는 개인정보 항목)
법인은 다음의 개인정보 항목을 처리하고 있습니다.

홈페이지 회원 가입 및 관리
필수항목 : 아이디, 비밀번호, 이름, 이메일주소, 생년월일, 주소, 전화번호
선택항목 : 성별, 직장명, 직위
고유목적사업 및 수익사업 수행 관련 서비스 제공
필수항목 : 한글성명, 영문성명, 생년월일, 연락처, 주소, 이메일 소속, 직위
선택 항목 : 학력, 경력(수상), 논문 및 특허출원·등록 실적, 정부출연 개발과제 수행실적
인터넷 서비스 이용과정에서 아래 개인정보 항목이 자동으로 생성되어 수집될 수 있습니다.
IP주소, 쿠키, MAC주소, 서비스 이용기록, 방문기록, 불량 이용기록 등

",2177
개인정보의 파기 절차 및 방법에 관한 사항,"1번 항목을 위반하면 '지침 미준수'로 분류하고,
2번 항목을 위반하면 '권장 사항'으로 분류하고, 
3번, 4번 항목을 위반하면 '법률 위반'으로 분류함.

1. 처리하고 있는 개인정보 보유 기간의 경과, 처리목적 달성 등 개인정보가 불필요하게 되었을 경우 '지체없이 파기' or '5일 이내 파기' or '즉시 파기'한다는 내용을 반드시 기재해야 함.
2. 개인정보 '보유기간이 경과'하거나 '처리목적이 달성'되었음에도 다른 법령에 따라 개인정보를 계속 보존하여야 하는 경우에는, 해당 개인정보를 다른 개인정보와 분리하여서 저장ㆍ관리하여야 함. 
3. '파기의 절차'를 기재하여야 함.
4. '파기 방법'을 기재하고, 파기 방법은 아래와 유사한 방법을 사용해야함.
- 전자적 파일 형태인 경우: 재생이 불가능한 방법으로 영구 삭제 또는 복원이 불가능하도록 조치
- 이외의 기록물, 인쇄물, 서면, 그 밖의 기록매체인 경우: 파쇄 또는 소각","개인정보 파기절차, 개인정보 파기절차 및 방법, 개인정보의 파기절차 및 방법, 개인정보의 파기절차 및 방법에 관한 사항, 개인정보의 파기, 개인정보 파기절차 및 파기방법","파기절차, 개인정보의 파기, 파기절차 및 방법",작성지침 9. 개인정보의 파기 절차 및 방법에 관한 사항,작성지침 9. 개인정보의 파기 절차 및 방법에 관한 사항,개인정보보호법 제21조 제3항,개인정보보호법 제30조 제1항,개인정보보호법 시행령 제16조 제1항,,,,33.0,2.0,0.0,1.0,1,"제7조(개인정보의 파기)
법인은 개인정보 보유기간의 경과, 처리목적 달성 등 개인정보가 불필요하게 되었을 때에는 지체없이 해당 개인정보를 파기합니다.
정보주체로부터 동의 받은 개인정보 보유기간이 경과하거나 처리목적이 달성되었음에도 불구하고 다른 법령에 따라 개인정보를 계속 보존하여야 하는 경우에는, 해당 개인정보를 별도의 데이터베이스(DB)로 옮기거나 보관장소를 달리하여 보존합니다.
개인정보 파기의 절차 및 방법은 다음과 같습니다.
파기절차 : 법인은 파기 사유가 발생한 개인정보를 선정하고, 법인의 개인정보 보호책임자의 승인을 받아 개인정보를 파기합니다.
파기방법 : 법인는 전자적 파일 형태로 기록·저장된 개인정보는 기록을 재생할 수 없도록 로우레밸포멧(Low Level Format) 등의 방법을 이용하여 파기하며, 종이 문서에 기록․저장된 개인정보는 분쇄기로 분쇄하거나 소각하여 파기합니다.

",2532
개인정보의 안전성 확보조치에 관한 사항,"1번 항목 위반할 경우 '법률 위반'으로 분류. 
2번, 3번 항목 위반할 경우 '권장 사항'으로 분류.

1. 해당 개인정보처리자가 법 제29조에 따라 시행중인 안전성 확보조치에 관한 사항을 기재하여야 함.
- 제29조(안전조치의무): 개인정보처리자는 개인정보가 분실ㆍ도난ㆍ유출ㆍ위조ㆍ변조 또는 훼손되지 아니하도록 안전성 확보에 필요한 기술적ㆍ관리적 및 물리적 조치를 하여야 한다. 
- '기술적', '관리적', '물리적'이라는 용어를 사용하지 않더라도 구체적인 예시와 설명을 기재한 경우는 법률 준수
2. 안전성 확보조치는 가능한 자세히 기재하되, 해당 개인정보처리자가 상세히 기술한 내용들이 알려짐으로써 개인정보 침해 위협이 증가할 수 있다고 판단되는 경우에는 그 수준을 조절하여 표현할 수 있음.
3. 또한, 법령에서 규정하고 있는 안전성 확보조치 관련 의무사항 외에 개인정보처리자가 자율적으로 이행하고 있는 개인정보보호 조치 사항에 대해 기재할 수 있음.","개인정보의 안전성 확보조치에 관한 사항, 개인정보의 기술적/관리적 보호조치, 개인정보의 안전성 확보조치에 관한 사항, 개인정보보호를 위한 관리적 대책, 개인정보의 안전성 확보 조치, 개인정보의 기술적, 관리적 보호대책, 개인정보보호를 위한 활동","안전성 확보조치, 보호조치, 기술적 보호조치, 관리적 보호조치, 개인정보보호",개인정보보호법 시행령 제31조 제1항,작성지침 12. 개인정보의 안전성 확보조치에 관한 사항,작성지침 12. 개인정보의 안전성 확보조치에 관한 사항,,,,,,15.0,1.0,0.0,0.0,1,"제8조(개인정보의 안전성 확보조치)
법인은 개인정보의 안전성 확보를 위해 다음과 같은 조치를 취하고 있습니다.

관리적 조치 : 내부관리계획 수립·시행, 정기적 직원 교육 등
기술적 조치 : 개인정보처리시스템 등의 접근권한 관리, 접근통제시스템 설치 등
물리적 조치 : 전산실, 자료보관실 등의 접근통제

",2989
개인정보 보호책임자에 관한 사항,"1번 항목을 위반할 경우 '법률 위반'으로 분류

1. 개인정보 보호책임자(담당자)와 그 성명 또는 부서의 명칭, 그리고 연락처 or 전자우편 주소를 기재해야 함. 성명 또는 부서의 명칭이나, 연락처에 관한 사항 둘 중 하나라도 기재되어있지 않은 것은 '법률 위반'사항임. 
이때 임시로 OOO처럼 공란으로 기재되어있는 것도 '법률 위반' 사항임. ","개인정보 보호책임자 및 연락처, 개인정보 보호 책임자 및 담당자의 소속, 성명 및 연락처, 개인정보 보호책임자 및 민원서비스, 개인정보에 관한 민원서비스, 개인정보 관리 책임자, 개인정보 보호책임자, 개인정보 보호책임자 및 고충사항 처리 담당부서, 개인정보 보호책임자 작성, 개인정보 보호책임자 및 민원서비스, 고객 의견수렴 및 불만처리","보호책임자, 개인정보 보호책임자",개인정보보호법 제30조 제1항,,,,,,,,15.0,1.0,0.0,0.0,1,"제9조(개인정보 분야별 책임자에 관한 사항)
법인은 개인정보 처리에 관한 업무를 총괄해서 책임지고, 개인정보 처리와 관련한 정보주체의 불만처리 및 피해구제 등을 위하여 다음 각 호와 같이 개인정보 보호책임자를 지정하고 있습니다.
개인정보 보호 총괄책임자
성명 : 서양진
직책 : 경영지원실장
연락처 : TEL. 054-223-2210, FAX 054-223-2220
분야별 개인정보 보호책임자
개인정보를 취급하는 담당 팀장
영상정보처리기기 설치·운영 담당 팀장
개인정보 보호 담당부서
부서명 : 경영지원실 총무팀
담당자 : 서판종
연락처 : TEL. 054-223-2211, FAX 054-223-2220
정보주체께서는 법인의 서비스(또는 사업)을 이용하시면서 발생한 모든 개인정보 보호 관련 문의, 불만처리, 피해구제 등에 관한 사항을 개인정보 보호책임자 및 담당부서로 문의하실 수 있습니다. 법인은 정보주체의 문의에 대해 지체없이 답변 및 처리해드릴 것입니다.

",3167
개인정보의 열람청구를 접수·처리하는 부서,"1번 항목을 위반할 경우 '지침 미준수'로 분류.

1. 정보주체가 해당 개인정보처리자에 대해 개인정보 열람청구를 신청할 수 있는 부서명을 기재하여야 함 (단, ‘개인정보 보호책임자에 관한 사항’의 ‘개인정보보호 담당부서’에서 개인정보 열람청구 업무를 담당한다고 기재하였다면 지침 미준수가 아님).","이용자 자신의 개인정보 관리 (열람, 정정, 삭제 등)에 관한 사항, 개인정보의 열람 및 정정, 개인정보의 열람·청구를 접수처리하는 부서, 이용자의 권리와 그 행사방법","개인정보 관리, 개인정보 열람, 열람 및 정정, 열람 · 청구",작성지침 19. 개인정보의 열람청구를 접수·처리하는 부서,,,,,,,,3.0,0.0,0.0,1.0,1,"제10조(개인정보 열람청구)
정보주체는 개인정보 보호법 제35조에 따른 개인정보의 열람 청구를 제9조 제3호의 부서에 할 수 있습니다. 법인은 정보주체의 개인정보 열람청구가 신속하게 처리되도록 노력하겠습니다.

",3667
정보주체의 권익침해에 대한 구제방법,"1번 항목 위반 시 '지침 미준수'로 분류.

1. 정보주체가 개인정보침해에 대한 구제를 받을 수 있도록 법에 따른 전문기관 또는 수사기관 등을 안내하여야 함. 권익침해 구제기관의 연락처 없이 구제 기관만 기재하거나, 구제기관의 연락처나 URL을 오기재하면 안됨.  URL은 domain name만 일치하면 돼! 아래에 해당하면 검사해! 아래의 보기가 다 있을 필요는 없어!
- (개인정보)분쟁조정위원회 : 1833-6972 (www.kopico.go.kr 또는 http://kopico.go.kr 또는 privacy.go.kr/front/reqDis/reqDisStep1.do 중 하나만 기재하면 지침 준수)
- 개인정보침해신고센터 : 118 (privacy.kisa.or.kr 또는 http://privacy.kisa.or.kr)
- 대검찰청 (사이버 수사과): 1301 (www.spo.go.kr 또는 http://spo.go.kr)
- 경찰청 (사이버 수사국) : 182 (ecrm.cyber.go.kr 또는 https://ecrm.police.go.kr 또는 https://ecrm.cyber.go.kr 또는 police.go.kr 중 하나만 기재하면 지침 준수)","개인정보 관련 의견 수렴, 개인정보 관련 불편 처리, 권익침해 구제 방법, 개인정보 관련 의견 수렴 및 불만 처리에 관한 사항, 의견수렴 및 불만처리, 개인정보에 관한 민원서비스, 정보주체의 권익침해에 대한 구제방법","권익침해, 구제방법, 권익침해에 따른 구제방법, 불만 처리",작성지침 20. 정보주체의 권익침해에 대한 구제방법,작성지침 20. 정보주체의 권익침해에 대한 구제방법,,,,,,,3.0,0.0,0.0,1.0,1,"제11조(권익침해 구제방법)
정보주체는 법인과는 별개인 다음 각 호의 기관에 대해 개인정보 침해에 대한 피해구제, 상담 등을 문의하실 수 있습니다.
개인정보 침해신고센터 (한국인터넷진흥원 운영)
소관업무 : 개인정보 침해사실 신고, 상담 신청
홈페이지 : privacy.kisa.or.kr
전화 : (국번없이) 118
주소 : (05717) 서울시 송파구 중대로 135 한국인터넷진흥원 개인정보침해신고센터
개인정보 분쟁조정위원회 (한국인터넷진흥원 운영)
소관업무 : 개인정보 분쟁조정신청, 집단분쟁조정 (민사적 해결)
홈페이지 : privacy.kisa.or.kr
전화 : (국번없이) 118
주소 : (05717) 서울시 송파구 중대로 135 한국인터넷진흥원 개인정보침해신고센터
대검찰청 사이버범죄수사단
홈페이지 : www.spo.go.kr
전화 : 02-3480-3573
경찰청 사이버테러대응센터
홈페이지 : www.netan.go.kr
전화 : 1566-0112

",3788
영상정보처리기기 운영·관리에 관한 사항,"1번, 2번, 3번, 4번, 5번, 6번, 7번, 8번 항목을 위반하면 '권장 사항'으로 분류.

1. 영상정보처리기기의 설치 근거 및 설치 목적 기재.
2. 영상정보처리기기의 설치 대수, 설치 위치, 촬영 범위 기재.
3. 관리책임자, 담당부서 및 영상정보에 대한 접근 권한이 있는 자 기재.
4. 영상정보 촬영시간, 보관기간, 보관장소, 처리방법 기재
5. 영상정보처리기기운영자의 영상정보 확인 방법 및 장소 기재.
6. 정보주체의 영상정보 열람 등 요구에 대한 조치 기재.
7. 영상 정보 보호를 위한 기술적, 관리적 및 물리적 조치 기재.
8. 그 밖에 영상정보처리기기 설치 운영 및 관리에 필요한 사항 기재.",영상정보 처리 기기,영상정보 처리 기기,작성지침 21.영상정보처리기기 운영·관리에 관한 사항,작성지침 21.영상정보처리기기 운영·관리에 관한 사항,작성지침 21.영상정보처리기기 운영·관리에 관한 사항,작성지침 21.영상정보처리기기 운영·관리에 관한 사항,작성지침 21.영상정보처리기기 운영·관리에 관한 사항,작성지침 21.영상정보처리기기 운영·관리에 관한 사항,작성지침 21.영상정보처리기기 운영·관리에 관한 사항,작성지침 21.영상정보처리기기 운영·관리에 관한 사항,0.0,0.0,0.0,0.0,1,"제12조(영상정보처리기기 설치·운영)
법인은 다음 각 호와 같이 영상정보처리기기를 설치·운영하고 있습니다.

영상정보처리기기 설치근거·목적 : 법인의 시설안전·화재예방
설치 대수, 설치 위치, 촬영 범위 : 법인 건물, 출입구 등 주요시설물에 81대 설치, 촬영범위는 주요시설물의 전 공간을 촬영
관리책임자, 담당부서 및 영상정보에 대한 접근권한자 : 경영지원실 단지운영팀 정의록 팀장
영상정보 촬영시간, 보관기간, 보관장소, 처리방법
촬영시간 : 24시간 촬영
보관기간 : 촬영시부터 30일
보관장소 및 처리방법 : 경영지원실 단지운영팀 소속의 중앙감시실 영상정보처리기기 통제실에 보관·처리
영상정보 확인 방법 및 장소 : 관리책임자에 요구 (경영지원실 단지운영팀)
정보주체의 영상정보 열람 등 요구에 대한 조치 : 개인영상정보 열람·존재확인 청구서로 신청하여야 하며, 정보주체 자신이 촬영된 경우 또는 명백히 정보주체의 생명·신체·재산 이익을 위해 필요한 경우에 한해 열람을 허용함
영상정보 보호를 위한 기술적·관리적·물리적 조치 : 내부관리계획 수립, 접근통제 및 접근권한 제한, 영상정보의 안전한 저장·전송기술 적용, 처리기록 보관 및 위·변조 방지조치, 보관시설 마련 및 잠금장치 설치 등

",4294
개인정보 처리방침의 변경에 관한 사항,"1번 항목을 위반할 경우 '지침 미준수'로 분류,
2번 항목을 위반할 경우 '법률 위반'으로 분류,
3번 항목을 위반할 경우 '법률 위반 위험'으로 분류.

1. 개인정보 처리방침의 시행 일자를 기재해야 함.
2. 이전의 개인정보 처리방침이 있는 경우에는 정보주체가 이전 버전을 비교, 열람할 수 있도록 해야 함. (이전의 개인정보 처리방침을 확인할 수 있는 하이퍼링크나 페이지가 있다면 '지침 준수')
3. 그간의 변경이력을 기재해야 함. 만약 변경이력을 모두 기재하지 않았더라도 이전의 개인정보 처리방침을 확인할 수 있는 링크나 페이지가 있다면 지침 위반이 아님.","개인정보 처리방침의 변경, 고지의 의무, 개인정보 처리방침 시행 및 변경, 개인정보처리방침 고지, 부칙, 고지의 의무, 개인정보 처리방침의 변경, 개인정보 처리방침의 변경에 관한 사항, 개인정보 처리방침 변경, 부칙","처리방침 변경, 처리방침의 시행",작성지침 22.개인정보 처리방침의 변경에 관한 사항,작성지침 22.개인정보 처리방침의 변경에 관한 사항,작성지침 22.개인정보 처리방침의 변경에 관한 사항,,,,,,25.0,1.0,1.0,1.0,1,"제13조(개인정보 처리방침 변경)
이 개인정보 처리방침은 2017. 02. 01부터 적용됩니다.",4924
